"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          33,       1.077884391,       1.139490518,      0.9318600152,       1.646058114
          0,           0,          34,       1.053439089,        1.13626807,      0.9256235318,       1.619100045
          0,           0,          35,       1.026499517,       1.128832837,      0.9186549434,       1.589030503
          0,           0,          36,      0.9983963418,       1.117480319,      0.9113541589,       1.557224156
          0,           0,          37,      0.9711129278,       1.101939457,      0.9039726697,       1.525850689
          0,           0,          38,      0.9472945761,       1.082411076,      0.8969796038,       1.497933057
          0,           0,          39,      0.9298707131,       1.059222108,      0.8909265975,       1.476979427
          0,           0,          40,      0.9213122348,       1.032932591,      0.8863850596,       1.466086696
          0,           0,          41,      0.9226915847,        1.00446133,      0.8838011243,       1.466672852
          0,           0,          42,      0.9332290704,      0.9754584161,      0.8833971561,       1.477811195
          0,           0,          43,      0.9505280393,      0.9482322261,      0.8848857165,        1.49658715
          0,           0,          44,      0.9717204336,      0.9253265181,      0.8876022148,       1.519590797
          0,           0,          45,      0.9943534505,      0.9093100157,      0.8907592691,       1.544002275
          0,           0,          46,       1.016647349,      0.9021665266,      0.8936136153,       1.567861409
          0,           0,          47,       1.037437992,      0.9045983054,      0.8955710458,        1.58994297
          0,           0,          48,       1.056010217,      0.9157725974,       0.896245283,       1.609532015
          0,           0,          49,         1.0719327,      0.9337123548,      0.8954805223,       1.626223258
          0,           0,          50,       1.084940272,      0.9560365363,      0.8933500973,       1.639785977
          0,           0,          51,        1.09486566,      0.9805502335,      0.8901775932,       1.650088125
          0,           0,          52,       1.101562474,       1.005489972,      0.8864339819,       1.657009437
          0,           0,          53,       1.104908198,       1.029577554,      0.8827115926,       1.660441118
          0,           0,          54,         1.1048302,       1.051930166,      0.8796839071,       1.660309103
          0,           0,          55,       1.101342482,       1.071898052,      0.8780237254,       1.656610151
          0,           0,          56,       1.094514997,       1.088978238,       0.878185279,       1.649373901
          0,           0,          57,       1.084495009,       1.102770761,      0.8802655087,       1.638680936
          0,           0,          58,        1.07156673,       1.112928642,      0.8840054876,       1.624727366
          0,           0,          59,       1.056268499,       1.119144006,      0.8888294548,       1.607961603
          0,           0,          60,        1.03947545,        1.12115829,      0.8939413909,       1.589203167
          0,           0,          61,       1.022212278,       1.118753714,      0.8984823366,       1.569474035
          0,           0,          62,       1.005738184,       1.111803623,      0.9017997897,       1.550143682
          0,           0,          63,      0.9914567665,       1.100627532,      0.9035477352,       1.532875429
          0,           0,          64,      0.9806954368,       1.084918927,      0.9034336361,       1.519419632
          0,           0,          65,       0.974321097,       1.064677561,      0.9013113487,       1.511093853
          0,           0,          66,      0.9725744848,       1.040285009,      0.8971899669,        1.50846976
          0,           0,          67,      0.9750252364,       1.012459845,      0.8911890422,       1.511202833
          0,           0,          68,      0.9807060979,      0.9823898091,      0.8834747822,       1.518158784
          0,           0,          69,      0.9884104975,      0.9518037685,      0.8741877429,       1.527807798
          0,           0,          70,      0.9969570876,      0.9230373561,      0.8634567128,       1.538621579
          0,           0,          71,       1.005348509,      0.8989110055,      0.8514609194,        1.54931091
          0,           0,          72,       1.012822451,      0.8822181826,      0.8384608201,       1.558899029
          0,           0,          73,       1.018863985,      0.8748342287,      0.8248445269,       1.566724591
          0,           0,          74,       1.023190417,      0.8768716603,      0.8110928199,       1.572414281
          0,           0,          75,       1.025684052,      0.8867211069,      0.7977520463,       1.575796803
          0,           0,          76,       1.026346761,      0.9018178238,      0.7853989743,       1.576839346
          0,           0,          77,       1.025289183,      0.9195274453,      0.7745951911,       1.575625099
          0,           0,          78,       1.022726188,      0.9376941102,      0.7658164419,       1.572343333
          0,           0,          79,       1.018987134,      0.9547926621,      0.7594081945,       1.567305443
          0,           0,          80,       1.014470511,       0.969830467,      0.7554273082,        1.56090987
