"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         211,      -8.670271728,      -5.362217728,      -5.817374318,      -3.229738331
          0,           0,         212,      -8.672548365,      -5.362888924,      -5.818134248,      -3.231593222
          0,           0,         213,      -8.674814737,      -5.363633398,      -5.818755856,      -3.233397983
          0,           0,         214,      -8.676975906,      -5.364442819,      -5.819261289,      -3.235067067
          0,           0,         215,      -8.678959947,      -5.365304626,      -5.819670449,      -3.236543304
          0,           0,         216,      -8.680729965,      -5.366203351,      -5.820006607,      -3.237811755
          0,           0,         217,      -8.682265974,      -5.367123918,      -5.820288237,      -3.238870921
          0,           0,         218,      -8.683570807,      -5.368050234,      -5.820540626,       -3.23973996
          0,           0,         219,      -8.684652686,      -5.368967155,      -5.820799539,      -3.240439498
          0,           0,         220,      -8.685515653,      -5.369862043,      -5.821094458,      -3.240979451
          0,           0,         221,      -8.686178128,      -5.370725515,      -5.821450995,      -3.241379315
          0,           0,         222,      -8.686656495,       -5.37155074,      -5.821888666,      -3.241652647
          0,           0,         223,      -8.686983055,      -5.372334537,      -5.822430596,      -3.241822106
          0,           0,         224,      -8.687174957,      -5.373076163,      -5.823092114,      -3.241896028
          0,           0,         225,      -8.687278909,      -5.373776801,      -5.823885276,       -3.24190687
          0,           0,         226,      -8.687326261,      -5.374440775,       -5.82480798,      -3.241874837
          0,           0,         227,      -8.687278588,      -5.375074444,      -5.825849372,      -3.241756972
          0,           0,         228,      -8.687287408,       -5.37568819,      -5.826989946,      -3.241689782
          0,           0,         229,      -8.687398004,      -5.376287018,      -5.828199232,      -3.241703411
          0,           0,         230,      -8.687647495,      -5.376880759,      -5.829457135,      -3.241835498
          0,           0,         231,      -8.688064387,      -5.377478608,      -5.830749154,      -3.242116957
          0,           0,         232,      -8.688651774,       -5.37809065,      -5.832054441,      -3.242550933
          0,           0,         233,      -8.689466045,      -5.378724649,      -5.833349774,      -3.243185643
          0,           0,         234,      -8.690434579,      -5.379389568,      -5.834614013,      -3.243954588
          0,           0,         235,      -8.691556733,      -5.380091098,      -5.835843344,      -3.244854599
          0,           0,         236,       -8.69281733,       -5.38083336,      -5.837037598,      -3.245873264
          0,           0,         237,      -8.694178381,      -5.381619031,      -5.838194528,      -3.246980202
          0,           0,         238,      -8.695648911,       -5.38244869,      -5.839311148,      -3.248182563
          0,           0,         239,      -8.697127335,      -5.383322005,      -5.840396651,      -3.249393251
          0,           0,         240,      -8.698584597,      -5.384236179,      -5.841453672,      -3.250583559
          0,           0,         241,      -8.700011671,      -5.385187544,      -5.842484038,      -3.251746643
          0,           0,         242,      -8.701400229,      -5.386171544,      -5.843490158,      -3.252877861
